ville,temperature_type,jour,date,slug,option,token_yes,bestBid,bidVolume,bestAsk,askVolume,_collecte_le
Austin,highest,J+1,2026-09-04,highest-temperature-in-austin-on-september-4-2026,106°F or higher,20211440048627239214498596697118465091969567306662347136753502646992284991063,0.001,356,0.005,300,2026-09-03T06:01:18.808034+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,69°F or below,11063892208782369010570568171168242578501481404968517653838419620700412669241,,,0.85,36,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,70-71°F,72040301438588798190846348358383745053002150257775685577838309458276629936093,,,0.5,6,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,72-73°F,14393078902884222016393113670116556659622534842158428125008754241357888307902,0.03,16,0.09,30.88,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,74-75°F,27734113969156304833770233682197961021613362421802966321542676358778269321007,0.04,25,0.5,6,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,76-77°F,52131481639734796988181889233620164479807174390439665343137428431361561928895,0.04,25,0.5,6,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,78-79°F,22480936684888248309151686942355217614332692942759653737165767427607847416219,0.04,25,0.5,6,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,80-81°F,85802279045837989337776084121643674773505971936707007257608518446215346019725,0.04,25,0.5,6,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,82-83°F,4638174224699171596156003839297475196448991062679281294405734821807875926574,0.02,60,0.5,6,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,84-85°F,41576562391128682174012650273700953195560403282839513367449794366937361267614,0.002,27,0.009,510.5,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,86-87°F,18694856802485789831354578469352318055795680980170401777954230093173134264087,,,0.009,510.5,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+0,2026-09-03,lowest-temperature-in-austin-on-september-3-2026,88°F or higher,62763188835542252450141078122560959296784922407524446484431130631333301571864,,,0.009,510.5,2026-09-03T06:01:21.175744+00:00
Austin,lowest,J+1,2026-09-04,lowest-temperature-in-austin-on-september-4-2026,69°F or below,33586575309122356366809559676800370325515025803427066092672405163856873580913,,,0.61,52.03,2026-09-03T06:01:23.425827+00:00
Austin,lowest,J+1,2026-09-04,lowest-temperature-in-austin-on-september-4-2026,70-71°F,57488369808876785252366853135496361285550567953742975346568420087663214353556,,,0.47,43.44,2026-09-03T06:01:23.425827+00:00
Austin,lowest,J+1,2026-09-04,lowest-temperature-in-austin-on-september-4-2026,72-73°F,18570748148766154597688993431882847589377496689281500902955405122012995444462,,,0.46,42.86,2026-09-03T06:01:23.425827+00:00
